Sample	Station_code	Tid_provetak	Year	Month	Day	Station	Sesong	Region	Latitude	Longitude	KLFA	N-NH4	N-SNOX	N-TOT	P-PO4	P-TOT	SALIN	SI-SIO2	TEMP
VR31.2020-03-02	VR31	02.03.2020 00:00	2020	Mar	2	Tilremfjorden	Vår	Norskehavet Sør II	372600.7000000002	7278221.699999999	0.31	10	91	250	19	22	33.012	270	4.623
VR31.2020-04-15	VR31	15.04.2020 00:00	2020	Apr	15	Tilremfjorden	Vår	Norskehavet Sør II	372600.7000000002	7278221.699999999	3	6	38	120	10	18	33.14	130	4.8795
VR31.2020-04-27	VR31	27.04.2020 00:00	2020	Apr	27	Tilremfjorden	Vår	Norskehavet Sør II	372600.7000000002	7278221.699999999	1.7	8	20	75	8	15	33.07	130	5.431
VR31.2020-05-19	VR31	19.05.2020 00:00	2020	May	19	Tilremfjorden	Vår	Norskehavet Sør II	372600.7000000002	7278221.699999999	1.6	7	3	52	6	13	33.26	110	6.252
VR31.2020-06-17	VR31	17.06.2020 00:00	2020	Jun	17	Tilremfjorden	Sommer	Norskehavet Sør II	372600.7000000002	7278221.699999999	0.39	5	1	71	4	15	32.68652	130	9.25617
VR31.2020-07-14	VR31	14.07.2020 00:00	2020	Jul	14	Tilremfjorden	Sommer	Norskehavet Sør II	372600.7000000002	7278221.699999999	0.49	8	3	120	4	11	32.43	42	10.232
VR31.2020-08-27	VR31	27.08.2020 00:00	2020	Aug	27	Tilremfjorden	Sommer	Norskehavet Sør II	372600.7000000002	7278221.699999999	0.99	7	3	140	3	10	32.678	92	13.61
VR31.2020-09-24	VR31	24.09.2020 00:00	2020	Sep	24	Tilremfjorden	Høst	Norskehavet Sør II	372600.7000000002	7278221.699999999	0.61	16	6	170	7	16	32.08	140	12.485
VR31.2020-10-20	VR31	20.10.2020 00:00	2020	Oct	20	Tilremfjorden	Høst	Norskehavet Sør II	372600.7000000002	7278221.699999999	1	9	20	160	7	13	32.1245	120	11.0375
VR31.2020-10-30	VR31	30.10.2020 00:00	2020	Oct	30	Tilremfjorden	Høst	Norskehavet Sør II	372600.7000000002	7278221.699999999	0.69	8	38	150	9	15	32.245	160	6.88569
VR31.2020-11-25	VR31	25.11.2020 00:00	2020	Nov	25	Tilremfjorden	Høst	Norskehavet Sør II	372600.7000000002	7278221.699999999	0.16	8	61	160	11	17	32.507	180	7.88
VR4.2020-01-06	VR4	06.01.2020 00:00	2020	Jan	6	Ytre Kvænangen	Vinter	Norskehavet Nord III	730173.2000000002	7790303.8999999985	0.16	11	90	170	16	21	NA	180	NA
VR4.2020-02-17	VR4	17.02.2020 00:00	2020	Feb	17	Ytre Kvænangen	Vinter	Norskehavet Nord III	730173.2000000002	7790303.8999999985	0.16	9	97	170	18	22	33.99	240	3.895
VR4.2020-03-17	VR4	17.03.2020 00:00	2020	Mar	17	Ytre Kvænangen	Vår	Norskehavet Nord III	730173.2000000002	7790303.8999999985	0.16	8	113	210	18	23	NA	270	NA
VR4.2020-04-15	VR4	15.04.2020 00:00	2020	Apr	15	Ytre Kvænangen	Vår	Norskehavet Nord III	730173.2000000002	7790303.8999999985	2.9	11	52	140	14	23	34.46489	200	2.582
VR4.2020-05-25	VR4	25.05.2020 00:00	2020	May	25	Ytre Kvænangen	Vår	Norskehavet Nord III	730173.2000000002	7790303.8999999985	1.1	10	29	140	15	19	NA	130	NA
VR4.2020-06-09	VR4	09.06.2020 00:00	2020	Jun	9	Ytre Kvænangen	Sommer	Norskehavet Nord III	730173.2000000002	7790303.8999999985	1.6	17	23	170	17	18	NA	130	NA
VR4.2020-07-16	VR4	16.07.2020 00:00	2020	Jul	16	Ytre Kvænangen	Sommer	Norskehavet Nord III	730173.2000000002	7790303.8999999985	0.84	8	1	87	6	15	NA	160	NA
VR4.2020-09-10	VR4	10.09.2020 00:00	2020	Sep	10	Ytre Kvænangen	Høst	Norskehavet Nord III	730173.2000000002	7790303.8999999985	0.72	12	3	170	5	16	NA	43	NA
VR4.2020-10-12	VR4	12.10.2020 00:00	2020	Oct	12	Ytre Kvænangen	Høst	Norskehavet Nord III	730173.2000000002	7790303.8999999985	0.81	14	20	170	8	15	NA	110	NA
VR4.2020-11-24	VR4	24.11.2020 00:00	2020	Nov	24	Ytre Kvænangen	Høst	Norskehavet Nord III	730173.2000000002	7790303.8999999985	0.16	5	63	180	12	20	NA	160	NA
VR4.2020-12-09	VR4	09.12.2020 00:00	2020	Dec	9	Ytre Kvænangen	Vinter	Norskehavet Nord III	730173.2000000002	7790303.8999999985	0.16	12	68	170	13	21	NA	190	NA
VR51.2020-01-29	VR51	29.01.2020 00:00	2020	Jan	29	Korsen	Vinter	Norskehavet Sør I	83360.70000000019	6910441.699999999	0.16	14	66	150	13	18	29.98	350	6.962
VR51.2020-02-19	VR51	19.02.2020 00:00	2020	Feb	19	Korsen	Vinter	Norskehavet Sør I	83360.70000000019	6910441.699999999	0.4	8	73	170	14	16	31.29	280	7.506
VR51.2020-03-20	VR51	20.03.2020 00:00	2020	Mar	20	Korsen	Vår	Norskehavet Sør I	83360.70000000019	6910441.699999999	2.9	10	4	77	4	12	32.02	35	6.858
VR51.2020-04-22	VR51	22.04.2020 00:00	2020	Apr	22	Korsen	Vår	Norskehavet Sør I	83360.70000000019	6910441.699999999	0.54	13	4	63	3	10	30.80815	200	7.17096
VR51.2020-05-18	VR51	18.05.2020 00:00	2020	May	18	Korsen	Vår	Norskehavet Sør I	83360.70000000019	6910441.699999999	0.41	8	2	91	8	7	29.39348	75	8.57752
VR51.2020-06-15	VR51	15.06.2020 00:00	2020	Jun	15	Korsen	Sommer	Norskehavet Sør I	83360.70000000019	6910441.699999999	0.19	8	3	130	10	10	25.18	78	12.277
VR51.2020-07-16	VR51	16.07.2020 00:00	2020	Jul	16	Korsen	Sommer	Norskehavet Sør I	83360.70000000019	6910441.699999999	0.53	11	1	92	2	9	19.8	210	14.539
VR51.2020-08-18	VR51	18.08.2020 00:00	2020	Aug	18	Korsen	Sommer	Norskehavet Sør I	83360.70000000019	6910441.699999999	0.78	12	3	120	2	8	22.915	89	17.071
VR51.2020-09-17	VR51	17.09.2020 00:00	2020	Sep	17	Korsen	Høst	Norskehavet Sør I	83360.70000000019	6910441.699999999	1.5	12	5	150	2	11	25.04	270	13.5945
VR51.2020-10-15	VR51	15.10.2020 00:00	2020	Oct	15	Korsen	Høst	Norskehavet Sør I	83360.70000000019	6910441.699999999	0.63	13	2	130	3	7	29.4	41	13.843
VR51.2020-11-09	VR51	09.11.2020 00:00	2020	Nov	9	Korsen	Høst	Norskehavet Sør I	83360.70000000019	6910441.699999999	1.1	18	31	150	7	12	30.735	150	10.4795
VR51.2020-12-08	VR51	08.12.2020 00:00	2020	Dec	8	Korsen	Vinter	Norskehavet Sør I	83360.70000000019	6910441.699999999	0.16	17	59	150	9	16	32.285	190	10.2175
VR52.2020-01-28	VR52	28.01.2020 00:00	2020	Jan	28	Broemsneset	Vinter	Norskehavet Sør II	322629	7154545.6000000015	0.16	13	79	150	13	16	31.39171	570	6.69971
VR52.2020-02-25	VR52	25.02.2020 00:00	2020	Feb	25	Broemsneset	Vinter	Norskehavet Sør II	322629	7154545.6000000015	0.16	7	82	150	13	18	32.61149	520	6.27011
VR52.2020-03-26	VR52	26.03.2020 00:00	2020	Mar	26	Broemsneset	Vår	Norskehavet Sør II	322629	7154545.6000000015	2.9	25	53	170	10	19	32.24882	350	5.93953
VR52.2020-04-22	VR52	22.04.2020 00:00	2020	Apr	22	Broemsneset	Vår	Norskehavet Sør II	322629	7154545.6000000015	0.29	7	79	120	14	21	33.02333	350	5.89938
VR52.2020-05-25	VR52	25.05.2020 00:00	2020	May	25	Broemsneset	Vår	Norskehavet Sør II	322629	7154545.6000000015	0.68	10	23	120	5	11	32.36429	720	6.78357
VR52.2020-06-25	VR52	25.06.2020 00:00	2020	Jun	25	Broemsneset	Sommer	Norskehavet Sør II	322629	7154545.6000000015	1.2	8	4	69	3	11	33.42051	130	7.02034
VR52.2020-07-27	VR52	27.07.2020 00:00	2020	Jul	27	Broemsneset	Sommer	Norskehavet Sør II	322629	7154545.6000000015	0.55	6	3	140	2	9	32.61159	130	11.71263
VR52.2020-08-27	VR52	27.08.2020 00:00	2020	Aug	27	Broemsneset	Sommer	Norskehavet Sør II	322629	7154545.6000000015	1.6	5	4	130	2	10	31.23617	210	14.95757
VR52.2020-09-26	VR52	26.09.2020 00:00	2020	Sep	26	Broemsneset	Høst	Norskehavet Sør II	322629	7154545.6000000015	0.22	8	26	180	5	11	24.43	680	13.161
VR52.2020-10-23	VR52	23.10.2020 00:00	2020	Oct	23	Broemsneset	Høst	Norskehavet Sør II	322629	7154545.6000000015	0.27	5	34	170	6	12	31.95	190	12.122
VR52.2020-11-09	VR52	09.11.2020 00:00	2020	Nov	9	Broemsneset	Høst	Norskehavet Sør II	322629	7154545.6000000015	0.16	5	53	170	8	13	30.57778	840	10.46348
VR52.2020-12-21	VR52	21.12.2020 00:00	2020	Dec	21	Broemsneset	Vinter	Norskehavet Sør II	322629	7154545.6000000015	0.16	25	67	150	12	17	32.32	220	8.74
VR54.2020-01-25	VR54	25.01.2020 00:00	2020	Jan	25	Straumsfjorden (Bakkland)	Vinter	Norskehavet Nord I	630395.4000000004	7713898.199999999	0.16	9	95	160	16	18	33.07	250	4.262
VR54.2020-03-01	VR54	01.03.2020 00:00	2020	Mar	1	Straumsfjorden (Bakkland)	Vår	Norskehavet Nord I	630395.4000000004	7713898.199999999	0.16	6	102	160	20	24	33.50147	290	3.46
VR54.2020-03-20	VR54	20.03.2020 00:00	2020	Mar	20	Straumsfjorden (Bakkland)	Vår	Norskehavet Nord I	630395.4000000004	7713898.199999999	0.54	5	95	170	16	22	33.55	310	3.488
VR54.2020-05-03	VR54	03.05.2020 00:00	2020	May	3	Straumsfjorden (Bakkland)	Vår	Norskehavet Nord I	630395.4000000004	7713898.199999999	1.2	5	7	62	5	13	32.74	77	4.603
VR54.2020-06-04	VR54	04.06.2020 00:00	2020	Jun	4	Straumsfjorden (Bakkland)	Sommer	Norskehavet Nord I	630395.4000000004	7713898.199999999	2.2	5	5	100	14	15	33.04009	170	5.419
VR54.2020-06-22	VR54	22.06.2020 00:00	2020	Jun	22	Straumsfjorden (Bakkland)	Sommer	Norskehavet Nord I	630395.4000000004	7713898.199999999	1.9	5	2	83	3	14	31.51602	240	6.7265
VR54.2020-07-19	VR54	19.07.2020 00:00	2020	Jul	19	Straumsfjorden (Bakkland)	Sommer	Norskehavet Nord I	630395.4000000004	7713898.199999999	0.45	13	3	120	4	12	30.70615	69	9.286
VR54.2020-08-30	VR54	30.08.2020 00:00	2020	Aug	30	Straumsfjorden (Bakkland)	Sommer	Norskehavet Nord I	630395.4000000004	7713898.199999999	1.6	5	25	120	7	15	31.23	190	8.593
VR54.2020-09-28	VR54	28.09.2020 00:00	2020	Sep	28	Straumsfjorden (Bakkland)	Høst	Norskehavet Nord I	630395.4000000004	7713898.199999999	0.95	5	18	130	7	13	30.26533	360	9.022
VR54.2020-10-27	VR54	27.10.2020 00:00	2020	Oct	27	Straumsfjorden (Bakkland)	Høst	Norskehavet Nord I	630395.4000000004	7713898.199999999	0.4	5	42	170	10	16	NA	240	NA
VR54.2020-11-26	VR54	26.11.2020 00:00	2020	Nov	26	Straumsfjorden (Bakkland)	Høst	Norskehavet Nord I	630395.4000000004	7713898.199999999	0.16	5	59	150	10	17	NA	310	NA
VR54.2020-12-31	VR54	31.12.2020 00:00	2020	Dec	31	Straumsfjorden (Bakkland)	Vinter	Norskehavet Nord I	630395.4000000004	7713898.199999999	0.16	5	75	170	13	19	33.415	230	6.4435
VR55.2020-01-06	VR55	06.01.2020 00:00	2020	Jan	6	Spilderbukta	Vinter	Norskehavet Nord III	755282.2999999998	7776145	0.16	5	98	160	17	21	NA	210	NA
VR55.2020-02-17	VR55	17.02.2020 00:00	2020	Feb	17	Spilderbukta	Vinter	Norskehavet Nord III	755282.2999999998	7776145	0.16	5	104	170	20	23	33.86	260	3.22
VR55.2020-03-17	VR55	17.03.2020 00:00	2020	Mar	17	Spilderbukta	Vår	Norskehavet Nord III	755282.2999999998	7776145	0.16	10	105	180	18	23	NA	300	NA
VR55.2020-04-15	VR55	15.04.2020 00:00	2020	Apr	15	Spilderbukta	Vår	Norskehavet Nord III	755282.2999999998	7776145	3.6	13	27	140	10	21	34.36285	140	2.217
VR55.2020-05-25	VR55	25.05.2020 00:00	2020	May	25	Spilderbukta	Vår	Norskehavet Nord III	755282.2999999998	7776145	0.62	12	2	170	13	18	NA	82	NA
VR55.2020-06-09	VR55	09.06.2020 00:00	2020	Jun	9	Spilderbukta	Sommer	Norskehavet Nord III	755282.2999999998	7776145	1	8	4	140	5	12	NA	170	NA
VR55.2020-07-16	VR55	16.07.2020 00:00	2020	Jul	16	Spilderbukta	Sommer	Norskehavet Nord III	755282.2999999998	7776145	0.81	12	3	120	5	14	NA	160	NA
VR55.2020-08-11	VR55	11.08.2020 00:00	2020	Aug	11	Spilderbukta	Sommer	Norskehavet Nord III	755282.2999999998	7776145	0.84	9	5	140	2	10	NA	110	NA
VR55.2020-09-10	VR55	10.09.2020 00:00	2020	Sep	10	Spilderbukta	Høst	Norskehavet Nord III	755282.2999999998	7776145	0.89	9	1	140	4	13	NA	26	NA
VR55.2020-10-12	VR55	12.10.2020 00:00	2020	Oct	12	Spilderbukta	Høst	Norskehavet Nord III	755282.2999999998	7776145	1	6	13	170	6	13	NA	89	NA
VR55.2020-11-24	VR55	24.11.2020 00:00	2020	Nov	24	Spilderbukta	Høst	Norskehavet Nord III	755282.2999999998	7776145	0.16	6	64	180	12	21	NA	190	NA
VR55.2020-12-09	VR55	09.12.2020 00:00	2020	Dec	9	Spilderbukta	Vinter	Norskehavet Nord III	755282.2999999998	7776145	0.16	8	71	160	14	22	NA	220	NA
VR56.2020-01-06	VR56	06.01.2020 00:00	2020	Jan	6	Reisafjorden ytre	Vinter	Norskehavet Nord III	733267.7999999998	7767141.1000000015	0.16	5	83	150	16	20	NA	200	NA
VR56.2020-02-17	VR56	17.02.2020 00:00	2020	Feb	17	Reisafjorden ytre	Vinter	Norskehavet Nord III	733267.7999999998	7767141.1000000015	0.16	5	94	150	19	21	33.74	250	2.689
VR56.2020-03-17	VR56	17.03.2020 00:00	2020	Mar	17	Reisafjorden ytre	Vår	Norskehavet Nord III	733267.7999999998	7767141.1000000015	0.36	6	101	180	18	24	NA	330	NA
VR56.2020-04-15	VR56	15.04.2020 00:00	2020	Apr	15	Reisafjorden ytre	Vår	Norskehavet Nord III	733267.7999999998	7767141.1000000015	3.7	10	6	100	9	19	34.32082	150	2.221
VR56.2020-05-25	VR56	25.05.2020 00:00	2020	May	25	Reisafjorden ytre	Vår	Norskehavet Nord III	733267.7999999998	7767141.1000000015	0.8	5	2	130	5	12	NA	120	NA
VR56.2020-06-09	VR56	09.06.2020 00:00	2020	Jun	9	Reisafjorden ytre	Sommer	Norskehavet Nord III	733267.7999999998	7767141.1000000015	1.1	22	5	150	14	21	NA	380	NA
VR56.2020-07-16	VR56	16.07.2020 00:00	2020	Jul	16	Reisafjorden ytre	Sommer	Norskehavet Nord III	733267.7999999998	7767141.1000000015	0.68	13	3	94	4	13	NA	160	NA
VR56.2020-08-11	VR56	11.08.2020 00:00	2020	Aug	11	Reisafjorden ytre	Sommer	Norskehavet Nord III	733267.7999999998	7767141.1000000015	0.89	8	3	160	2	9	NA	210	NA
VR56.2020-09-10	VR56	10.09.2020 00:00	2020	Sep	10	Reisafjorden ytre	Høst	Norskehavet Nord III	733267.7999999998	7767141.1000000015	0.82	9	3	140	3	12	NA	97	NA
VR56.2020-10-12	VR56	12.10.2020 00:00	2020	Oct	12	Reisafjorden ytre	Høst	Norskehavet Nord III	733267.7999999998	7767141.1000000015	0.97	10	16	150	7	14	NA	150	NA
VR56.2020-11-24	VR56	24.11.2020 00:00	2020	Nov	24	Reisafjorden ytre	Høst	Norskehavet Nord III	733267.7999999998	7767141.1000000015	0.16	5	69	170	13	21	NA	270	NA
VR56.2020-12-09	VR56	09.12.2020 00:00	2020	Dec	9	Reisafjorden ytre	Vinter	Norskehavet Nord III	733267.7999999998	7767141.1000000015	0.16	10	76	190	14	22	NA	290	NA
VR58.2020-01-26	VR58	26.01.2020 00:00	2020	Jan	26	Ullsfjorden	Vinter	Norskehavet Nord III	684058.2999999998	7745678.3999999985	0.16	12	103	170	18	21	NA	310	NA
VR58.2020-03-14	VR58	14.03.2020 00:00	2020	Mar	14	Ullsfjorden	Vår	Norskehavet Nord III	684058.2999999998	7745678.3999999985	0.19	5	108	170	19	23	NA	310	NA
VR58.2020-04-18	VR58	18.04.2020 00:00	2020	Apr	18	Ullsfjorden	Vår	Norskehavet Nord III	684058.2999999998	7745678.3999999985	5.5	7	7	130	8	22	NA	220	NA
VR58.2020-05-23	VR58	23.05.2020 00:00	2020	May	23	Ullsfjorden	Vår	Norskehavet Nord III	684058.2999999998	7745678.3999999985	0.33	5	1	46	5	10	NA	110	NA
VR58.2020-06-24	VR58	24.06.2020 00:00	2020	Jun	24	Ullsfjorden	Sommer	Norskehavet Nord III	684058.2999999998	7745678.3999999985	1.1	9	3	150	11	30	NA	290	NA
VR58.2020-07-18	VR58	18.07.2020 00:00	2020	Jul	18	Ullsfjorden	Sommer	Norskehavet Nord III	684058.2999999998	7745678.3999999985	0.35	6	1	90	4	13	NA	120	NA
VR58.2020-09-29	VR58	29.09.2020 00:00	2020	Sep	29	Ullsfjorden	Høst	Norskehavet Nord III	684058.2999999998	7745678.3999999985	0.58	10	20	130	10	17	NA	170	NA
VR58.2020-10-25	VR58	25.10.2020 00:00	2020	Oct	25	Ullsfjorden	Høst	Norskehavet Nord III	684058.2999999998	7745678.3999999985	0.36	5	47	160	12	19	NA	180	NA
VR58.2020-12-08	VR58	08.12.2020 00:00	2020	Dec	8	Ullsfjorden	Vinter	Norskehavet Nord III	684058.2999999998	7745678.3999999985	0.16	6	70	160	14	21	NA	240	NA
VR58.2020-12-30	VR58	30.12.2020 00:00	2020	Dec	30	Ullsfjorden	Vinter	Norskehavet Nord III	684058.2999999998	7745678.3999999985	0.16	7	83	190	15	20	NA	230	NA
VR59.2020-01-26	VR59	26.01.2020 00:00	2020	Jan	26	Sørfjorden ytre	Vinter	Norskehavet Nord III	683650.4000000004	7725132.6000000015	0.16	11	99	160	17	19	NA	250	NA
VR59.2020-03-14	VR59	14.03.2020 00:00	2020	Mar	14	Sørfjorden ytre	Vår	Norskehavet Nord III	683650.4000000004	7725132.6000000015	0.23	5	106	170	19	23	NA	370	NA
VR59.2020-04-18	VR59	18.04.2020 00:00	2020	Apr	18	Sørfjorden ytre	Vår	Norskehavet Nord III	683650.4000000004	7725132.6000000015	2.1	6	54	130	14	21	NA	320	NA
VR59.2020-05-23	VR59	23.05.2020 00:00	2020	May	23	Sørfjorden ytre	Vår	Norskehavet Nord III	683650.4000000004	7725132.6000000015	1.1	10	5	93	7	15	NA	140	NA
VR59.2020-06-24	VR59	24.06.2020 00:00	2020	Jun	24	Sørfjorden ytre	Sommer	Norskehavet Nord III	683650.4000000004	7725132.6000000015	1.4	11	4	90	7	13	NA	530	NA
VR59.2020-07-18	VR59	18.07.2020 00:00	2020	Jul	18	Sørfjorden ytre	Sommer	Norskehavet Nord III	683650.4000000004	7725132.6000000015	1.2	13	4	74	5	12	NA	310	NA
VR59.2020-09-29	VR59	29.09.2020 00:00	2020	Sep	29	Sørfjorden ytre	Høst	Norskehavet Nord III	683650.4000000004	7725132.6000000015	0.64	10	21	130	10	16	NA	210	NA
VR59.2020-10-25	VR59	25.10.2020 00:00	2020	Oct	25	Sørfjorden ytre	Høst	Norskehavet Nord III	683650.4000000004	7725132.6000000015	0.44	5	50	160	13	19	NA	240	NA
VR59.2020-12-08	VR59	08.12.2020 00:00	2020	Dec	8	Sørfjorden ytre	Vinter	Norskehavet Nord III	683650.4000000004	7725132.6000000015	0.62	8	75	190	15	23	NA	300	NA
VR59.2020-12-30	VR59	30.12.2020 00:00	2020	Dec	30	Sørfjorden ytre	Vinter	Norskehavet Nord III	683650.4000000004	7725132.6000000015	0.16	8	85	180	17	24	NA	300	NA
VR7.2020-01-18	VR7	18.01.2020 00:00	2020	Jan	18	Langfjordnes	Vinter	Barentshavet	979632.7000000002	7894956.300000001	0.1	5	108	150	14	20	34.17	200	4.567
VR7.2020-02-22	VR7	22.02.2020 00:00	2020	Feb	22	Langfjordnes	Vinter	Barentshavet	979632.7000000002	7894956.300000001	0.16	5	111	150	18	24	34.26	250	3.18
VR7.2020-04-10	VR7	10.04.2020 00:00	2020	Apr	10	Langfjordnes	Vår	Barentshavet	979632.7000000002	7894956.300000001	0.39	7	115	200	20	27	34.37	270	3.2485
VR7.2020-05-02	VR7	02.05.2020 00:00	2020	May	2	Langfjordnes	Vår	Barentshavet	979632.7000000002	7894956.300000001	2.1	7	25	110	9	21	34.508	65	3.9485
VR7.2020-05-31	VR7	31.05.2020 00:00	2020	May	31	Langfjordnes	Vår	Barentshavet	979632.7000000002	7894956.300000001	1.6	6	3	110	15	16	33.54666	110	6.316
VR7.2020-06-22	VR7	22.06.2020 00:00	2020	Jun	22	Langfjordnes	Sommer	Barentshavet	979632.7000000002	7894956.300000001	2.7	12	1	110	6	22	32.92	73	7.961
VR7.2020-07-22	VR7	22.07.2020 00:00	2020	Jul	22	Langfjordnes	Sommer	Barentshavet	979632.7000000002	7894956.300000001	1.1	28	2	140	5	15	30.53	210	10.657
VR7.2020-08-23	VR7	23.08.2020 00:00	2020	Aug	23	Langfjordnes	Sommer	Barentshavet	979632.7000000002	7894956.300000001	0.85	42	8	140	10	18	33.76	74	9.712
VR7.2020-09-12	VR7	12.09.2020 00:00	2020	Sep	12	Langfjordnes	Høst	Barentshavet	979632.7000000002	7894956.300000001	2	30	13	150	9	18	33.77	97	9.821
VR7.2020-10-17	VR7	17.10.2020 00:00	2020	Oct	17	Langfjordnes	Høst	Barentshavet	979632.7000000002	7894956.300000001	0.65	6	39	150	10	18	33.77	120	8.328
VR7.2020-11-21	VR7	21.11.2020 00:00	2020	Nov	21	Langfjordnes	Høst	Barentshavet	979632.7000000002	7894956.300000001	0.13	5	78	170	13	20	34.04	170	7.061
VR7.2020-12-05	VR7	05.12.2020 00:00	2020	Dec	5	Langfjordnes	Vinter	Barentshavet	979632.7000000002	7894956.300000001	0.13	7	84	180	15	23	34.05333	200	6.45266
VT10.2020-01-14	VT10	14.01.2020 00:00	2020	Jan	14	Breiangen vest	Vinter	Skagerrak	242892.7999999998	6603030.699999999	0.16	17	139	280	16	21	26.526	760	5.291
